Name,Price,Bedrooms,Square Meters,StreetName,Price_per_sq_m,Latitude,Longitude,URL,date_browsed,Floor
"Flat in calle d'Almansa, Verdun, Barcelona",136000,3,51,"calle d'Almansa, Verdun, Barcelona",2666.6666666666665,41.44261,2.1755,https://www.idealista.com/en/inmueble/101145564/,2023-07-14,3
"Flat in calle del Baró de Sant Lluís, 26, Can Baró, Barcelona",140000,2,44,"calle del Baró de Sant Lluís, 26, Can Baró, Barcelona",3181.818181818182,41.41595,2.16379,https://www.idealista.com/en/inmueble/98123727/,2023-07-14,2
"Flat in rambla de Badal, Sants, Barcelona",160000,1,50,"rambla de Badal, Sants, Barcelona",3200.0,41.37414,2.13108,https://www.idealista.com/en/inmueble/102034915/,2023-07-14,1
"Flat in ausona, La Trinitat Vella, Barcelona",115000,2,65,"ausona, La Trinitat Vella, Barcelona",1769.2307692307693,41.45087,2.19129,https://www.idealista.com/en/inmueble/102028554/,2023-07-14,1
"Flat in calle del Maresme, Nn, El Besòs, Barcelona",159000,3,65,"calle del Maresme, Nn, El Besòs, Barcelona",2446.153846153846,41.41461,2.21275,https://www.idealista.com/en/inmueble/100819325/,2023-07-14,3
"Flat in calle d'Aiguablava, 41, La Trinitat Nova, Barcelona",104200,2,50,"calle d'Aiguablava, 41, La Trinitat Nova, Barcelona",2084.0,41.44887,2.18158,https://www.idealista.com/en/inmueble/102033475/,2023-07-14,3
"Flat in avenida dels Rasos de Peguera, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",135000,3,70,"avenida dels Rasos de Peguera, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",1928.5714285714287,41.46069,2.17418,https://www.idealista.com/en/inmueble/102031411/,2023-07-14,2
"Flat in avenida dels Rasos de Peguera, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",135000,3,70,"avenida dels Rasos de Peguera, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",1928.5714285714287,41.46069,2.17418,https://www.idealista.com/en/inmueble/102039367/,2023-07-14,2
"Flat in calle de Càller, El Besòs, Barcelona",85000,2,52,"calle de Càller, El Besòs, Barcelona",1634.6153846153845,41.41837,2.21544,https://www.idealista.com/en/inmueble/102029659/,2023-07-14,5
"Flat in calle Sant vicenç, El Raval, Barcelona",149000,2,41,"calle Sant vicenç, El Raval, Barcelona",3634.1463414634145,41.38145,2.16487,https://www.idealista.com/en/inmueble/101223692/,2023-07-14,3
"Flat in calle de Lugo, El Carmel, Barcelona",160000,3,50,"calle de Lugo, El Carmel, Barcelona",3200.0,41.42339,2.15652,https://www.idealista.com/en/inmueble/101338668/,2023-07-14,2
"Flat in avenida dels Rasos de Peguera, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",135000,3,70,"avenida dels Rasos de Peguera, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",1928.5714285714287,41.46069,2.17418,https://www.idealista.com/en/inmueble/102039354/,2023-07-14,2
"Flat in Ferrer Bassa, Nn, El Besòs, Barcelona",125000,2,61,"Ferrer Bassa, Nn, El Besòs, Barcelona",2049.1803278688526,41.41645,2.21609,https://www.idealista.com/en/inmueble/100317113/,2023-07-14,5
"Flat in calle de Càller, El Besòs, Barcelona",85000,2,52,"calle de Càller, El Besòs, Barcelona",1634.6153846153845,41.41837,2.21544,https://www.idealista.com/en/inmueble/102032961/,2023-07-14,5
"Flat in calle d'Aiguablava, La Trinitat Nova, Barcelona",104200,2,50,"calle d'Aiguablava, La Trinitat Nova, Barcelona",2084.0,41.44782,2.18066,https://www.idealista.com/en/inmueble/102022247/,2023-07-14,3
"Flat in calle de Càller, Barcelona, El Besòs, Barcelona",85000,2,52,"calle de Càller, Barcelona, El Besòs, Barcelona",1634.6153846153845,41.41837,2.21544,https://www.idealista.com/en/inmueble/102030526/,2023-07-14,5
"Flat in calle del Ter, 39, El Clot, Barcelona",150000,3,70,"calle del Ter, 39, El Clot, Barcelona",2142.8571428571427,41.41063,2.18739,https://www.idealista.com/en/inmueble/101837497/,2023-07-14,-1
"Flat in Via Favència, La Trinitat Nova, Barcelona",152000,2,69,"Via Favència, La Trinitat Nova, Barcelona",2202.8985507246375,41.44644,2.18313,https://www.idealista.com/en/inmueble/99509268/,2023-07-14,1
"Flat in calle de Càller, El Besòs, Barcelona",85000,2,52,"calle de Càller, El Besòs, Barcelona",1634.6153846153845,41.41837,2.21544,https://www.idealista.com/en/inmueble/102032548/,2023-07-14,5
"Flat in rambla prim, Nn, El Besòs, Barcelona",150000,3,70,"rambla prim, Nn, El Besòs, Barcelona",2142.8571428571427,10.15446,-64.6839,https://www.idealista.com/en/inmueble/102030675/,2023-07-14,8
"Flat in Formentera, La Prosperitat, Barcelona",139000,2,63,"Formentera, La Prosperitat, Barcelona",2206.3492063492063,41.44433,2.18492,https://www.idealista.com/en/inmueble/102017585/,2023-07-14,2
"Flat in calle de Càller, El Besòs, Barcelona",85000,2,52,"calle de Càller, El Besòs, Barcelona",1634.6153846153845,41.41837,2.21544,https://www.idealista.com/en/inmueble/101788381/,2023-07-14,5
"Flat in calle del Concilio de Trento, La Verneda i la Pau, Barcelona",140000,3,75,"calle del Concilio de Trento, La Verneda i la Pau, Barcelona",1866.6666666666667,41.42155,2.20639,https://www.idealista.com/en/inmueble/101973914/,2023-07-14,1
"Flat in calle de Josep Solé i Barberà, Les Roquetes, Barcelona",135000,2,41,"calle de Josep Solé i Barberà, Les Roquetes, Barcelona",3292.682926829268,41.44502,2.17331,https://www.idealista.com/en/inmueble/101494736/,2023-07-14,1
"Flat in calle de Vidal i Guasch, Les Roquetes, Barcelona",159000,3,81,"calle de Vidal i Guasch, Les Roquetes, Barcelona",1962.962962962963,41.44757,2.17543,https://www.idealista.com/en/inmueble/101984736/,2023-07-14,1
"Flat in El Besòs, Barcelona",124000,2,65,"El Besòs, Barcelona",1907.6923076923076,41.48648,2.19287,https://www.idealista.com/en/inmueble/102033633/,2023-07-14,1
