Name,Price,Bedrooms,Square Meters,StreetName,Price_per_sq_m,Latitude,Longitude,URL,date_browsed,Floor
"Flat in calle d'Almansa, Verdun, Barcelona",136000,3,51,"calle d'Almansa, Verdun, Barcelona",2666.6666666666665,41.44261,2.1755,https://www.idealista.com/en/inmueble/101145564/,2023-07-15,3
"Flat in calle del Maresme, Nn, El Besòs, Barcelona",159000,2,71,"calle del Maresme, Nn, El Besòs, Barcelona",2239.43661971831,41.41461,2.21275,https://www.idealista.com/en/inmueble/102041400/,2023-07-15,1
"Flat in calle del Maresme, El Besòs, Barcelona",159000,2,72,"calle del Maresme, El Besòs, Barcelona",2208.3333333333335,41.41461,2.21275,https://www.idealista.com/en/inmueble/102044748/,2023-07-15,1
"Flat in calle del Baró de Sant Lluís, 26, Can Baró, Barcelona",140000,2,44,"calle del Baró de Sant Lluís, 26, Can Baró, Barcelona",3181.818181818182,41.41595,2.16379,https://www.idealista.com/en/inmueble/98123727/,2023-07-15,2
"Flat in calle de l'Aurora, El Raval, Barcelona",139000,1,43,"calle de l'Aurora, El Raval, Barcelona",3232.5581395348836,41.37843,2.16772,https://www.idealista.com/en/inmueble/102045333/,2023-07-15,4
"Flat in calle del Maresme, Provençals del Poblenou, Barcelona",159000,2,70,"calle del Maresme, Provençals del Poblenou, Barcelona",2271.4285714285716,41.41795,2.20831,https://www.idealista.com/en/inmueble/102045609/,2023-07-15,1
"Flat in calle de l'Hospital, El Raval, Barcelona",81000,2,55,"calle de l'Hospital, El Raval, Barcelona",1472.7272727272727,41.38025,2.16975,https://www.idealista.com/en/inmueble/102042269/,2023-07-15,2
"Flat in calle de l'Hospital, El Raval, Barcelona",81000,2,55,"calle de l'Hospital, El Raval, Barcelona",1472.7272727272727,41.38025,2.16975,https://www.idealista.com/en/inmueble/102045272/,2023-07-15,2
"Flat in ausona, La Trinitat Vella, Barcelona",115000,2,65,"ausona, La Trinitat Vella, Barcelona",1769.2307692307693,41.45087,2.19129,https://www.idealista.com/en/inmueble/102043458/,2023-07-15,1
"Flat in calle del Maresme, Nn, Provençals del Poblenou, Barcelona",159000,2,72,"calle del Maresme, Nn, Provençals del Poblenou, Barcelona",2208.3333333333335,41.41795,2.20831,https://www.idealista.com/en/inmueble/102045682/,2023-07-15,1
"Flat in calle d'Aiguablava, 41, La Trinitat Nova, Barcelona",104200,2,50,"calle d'Aiguablava, 41, La Trinitat Nova, Barcelona",2084.0,41.44887,2.18158,https://www.idealista.com/en/inmueble/102033475/,2023-07-15,3
"Flat in El Raval, Barcelona",81000,2,55,"El Raval, Barcelona",1472.7272727272727,41.70141,1.97096,https://www.idealista.com/en/inmueble/102045999/,2023-07-15,2
"Flat in avenida dels Rasos de Peguera, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",135000,3,70,"avenida dels Rasos de Peguera, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",1928.5714285714287,41.46069,2.17418,https://www.idealista.com/en/inmueble/102041189/,2023-07-15,2
"Flat in calle del Maresme, El Besòs, Barcelona",159000,2,72,"calle del Maresme, El Besòs, Barcelona",2208.3333333333335,41.41461,2.21275,https://www.idealista.com/en/inmueble/102044755/,2023-07-15,1
"Flat in avenida dels Rasos de Peguera, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",135000,3,70,"avenida dels Rasos de Peguera, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",1928.5714285714287,41.46069,2.17418,https://www.idealista.com/en/inmueble/102039367/,2023-07-15,2
"Flat in avenida dels Rasos de Peguera, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",135000,3,70,"avenida dels Rasos de Peguera, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",1928.5714285714287,41.46069,2.17418,https://www.idealista.com/en/inmueble/102039307/,2023-07-15,2
"Flat in calle de l'Hospital, El Raval, Barcelona",81000,2,55,"calle de l'Hospital, El Raval, Barcelona",1472.7272727272727,41.38025,2.16975,https://www.idealista.com/en/inmueble/102042927/,2023-07-15,2
"Flat in rambla de Badal, Sants, Barcelona",160000,1,50,"rambla de Badal, Sants, Barcelona",3200.0,41.37414,2.13108,https://www.idealista.com/en/inmueble/102034915/,2023-07-15,1
"Flat in calle de Lugo, El Carmel, Barcelona",160000,3,50,"calle de Lugo, El Carmel, Barcelona",3200.0,41.42339,2.15652,https://www.idealista.com/en/inmueble/101338668/,2023-07-15,2
"Flat in calle Sant vicenç, El Raval, Barcelona",149000,2,41,"calle Sant vicenç, El Raval, Barcelona",3634.1463414634145,41.38145,2.16487,https://www.idealista.com/en/inmueble/101223692/,2023-07-15,3
