Name,Price,Bedrooms,Square Meters,StreetName,Price_per_sq_m,Latitude,Longitude,URL,date_browsed,Floor
"Penthouse in calle del Pare Pérez del Pulgar, La Trinitat Vella, Barcelona",89500,3,58,"calle del Pare Pérez del Pulgar, La Trinitat Vella, Barcelona",1543.103448275862,41.45433,2.1907,https://www.idealista.com/en/inmueble/101549696/,2023-07-11,5
"Penthouse in calle del Turó de la Trinitat, La Trinitat Vella, Barcelona",139900,2,77,"calle del Turó de la Trinitat, La Trinitat Vella, Barcelona",1816.8831168831168,41.45099,2.19064,https://www.idealista.com/en/inmueble/99445652/,2023-07-11,5
"Penthouse in calle de la Foradada, La Trinitat Vella, Barcelona",130500,2,59,"calle de la Foradada, La Trinitat Vella, Barcelona",2211.864406779661,41.4521,2.19163,https://www.idealista.com/en/inmueble/101656238/,2023-07-11,4
"Penthouse in avenida Meridiana, 603, La Trinitat Nova, Barcelona",145000,3,80,"avenida Meridiana, 603, La Trinitat Nova, Barcelona",1812.5,41.44942,2.18788,https://www.idealista.com/en/inmueble/97477228/,2023-07-11,7
"Penthouse in plaza de la Trinidad, La Trinitat Vella, Barcelona",125000,2,65,"plaza de la Trinidad, La Trinitat Vella, Barcelona",1923.076923076923,41.45083,2.19156,https://www.idealista.com/en/inmueble/101994265/,2023-07-11,5
"Penthouse in calle de l'Aurora, El Raval, Barcelona",132000,4,60,"calle de l'Aurora, El Raval, Barcelona",2200.0,41.37843,2.16772,https://www.idealista.com/en/inmueble/100962976/,2023-07-11,5
"Penthouse in via Julia, Verdun, Barcelona",147500,3,63,"via Julia, Verdun, Barcelona",2341.2698412698414,41.44219,2.17779,https://www.idealista.com/en/inmueble/101501426/,2023-07-11,4
"Flat in calle del Turó de la Trinitat, La Trinitat Vella, Barcelona",139900,2,77,"calle del Turó de la Trinitat, La Trinitat Vella, Barcelona",1816.8831168831168,41.45099,2.19064,https://www.idealista.com/en/inmueble/100952869/,2023-07-11,5
"Penthouse in calle d'Ausona, La Trinitat Vella, Barcelona",125000,2,54,"calle d'Ausona, La Trinitat Vella, Barcelona",2314.814814814815,41.45281,2.19126,https://www.idealista.com/en/inmueble/101914185/,2023-07-11,4
"Penthouse in Verdun, Barcelona",123900,3,70,"Verdun, Barcelona",1770.0,41.43681,2.17324,https://www.idealista.com/en/inmueble/101981466/,2023-07-11,4
"Flat in calle Bernat Martorell, 3, El Besòs, Barcelona",155000,3,70,"calle Bernat Martorell, 3, El Besòs, Barcelona",2214.285714285714,41.41865,2.21239,https://www.idealista.com/en/inmueble/101438877/,2023-07-11,11
"Penthouse in El Raval, Barcelona",130000,1,38,"El Raval, Barcelona",3421.0526315789475,41.70141,1.97096,https://www.idealista.com/en/inmueble/98799796/,2023-07-11,5
"Penthouse in calle del Turó de la Trinitat, La Trinitat Vella, Barcelona",139900,2,108,"calle del Turó de la Trinitat, La Trinitat Vella, Barcelona",1295.3703703703704,41.45099,2.19064,https://www.idealista.com/en/inmueble/101580182/,2023-07-11,5
"Penthouse in calle d'Ausona, La Trinitat Vella, Barcelona",125000,2,54,"calle d'Ausona, La Trinitat Vella, Barcelona",2314.814814814815,41.45281,2.19126,https://www.idealista.com/en/inmueble/101403202/,2023-07-11,4
"Penthouse in El Raval, Barcelona",149500,1,40,"El Raval, Barcelona",3737.5,41.70141,1.97096,https://www.idealista.com/en/inmueble/95690399/,2023-07-11,4
"Duplex in La Trinitat Vella, Barcelona",140000,2,67,"La Trinitat Vella, Barcelona",2089.5522388059703,41.45087,2.19129,https://www.idealista.com/en/inmueble/101988913/,2023-07-11,4
"Flat in La Trinitat Vella, Barcelona",139900,2,77,"La Trinitat Vella, Barcelona",1816.8831168831168,41.45087,2.19129,https://www.idealista.com/en/inmueble/101980036/,2023-07-11,5
"Penthouse in Salva, El Poble Sec - Parc de Montjuïc, Barcelona",154500,1,53,"Salva, El Poble Sec - Parc de Montjuïc, Barcelona",2915.0943396226417,41.37215,2.17068,https://www.idealista.com/en/inmueble/98309574/,2023-07-11,4
"Flat in La Trinitat Vella, Barcelona",139900,2,77,"La Trinitat Vella, Barcelona",1816.8831168831168,41.45087,2.19129,https://www.idealista.com/en/inmueble/100145430/,2023-07-11,5
"Penthouse in Passatge de Pla, La Dreta de l'Eixample, Barcelona",159000,1,44,"Passatge de Pla, La Dreta de l'Eixample, Barcelona",3613.6363636363635,41.396,2.16882,https://www.idealista.com/en/inmueble/101268689/,2023-07-11,5
"Penthouse in calle de la Foradada, La Trinitat Vella, Barcelona",88000,2,54,"calle de la Foradada, La Trinitat Vella, Barcelona",1629.6296296296296,41.4521,2.19163,https://www.idealista.com/en/inmueble/100681176/,2023-07-11,4
