Name,Price,Bedrooms,Square Meters,StreetName,Price_per_sq_m,Latitude,Longitude,URL,date_browsed,Floor
"Penthouse in Sant Pere - Santa Caterina i la Ribera, Barcelona",415000,2,60,"Sant Pere - Santa Caterina i la Ribera, Barcelona",6916.666666666667,41.38465,2.18386,https://www.idealista.com/en/inmueble/101842553/,2023-07-19,6
"Flat in calle de Sant Pere Mitjà, 35, Sant Pere - Santa Caterina i la Ribera, Barcelona",159000,1,46,"calle de Sant Pere Mitjà, 35, Sant Pere - Santa Caterina i la Ribera, Barcelona",3456.521739130435,41.38793,2.17748,https://www.idealista.com/en/inmueble/101824879/,2023-07-19,3
"Penthouse in La Sagrera, Barcelona",289000,2,53,"La Sagrera, Barcelona",5452.830188679245,41.58476,2.1696,https://www.idealista.com/en/inmueble/101816250/,2023-07-19,-1
"Penthouse in calle dels Jocs Florals, 60, Sants, Barcelona",189000,1,41,"calle dels Jocs Florals, 60, Sants, Barcelona",4609.756097560976,41.37347,2.13486,https://www.idealista.com/en/inmueble/101799501/,2023-07-19,3
"Penthouse in La Dreta de l'Eixample, Barcelona",295000,2,58,"La Dreta de l'Eixample, Barcelona",5086.206896551724,41.39498,2.16748,https://www.idealista.com/en/inmueble/101784994/,2023-07-19,3
"Penthouse in Vila de Gràcia, Barcelona",350000,1,54,"Vila de Gràcia, Barcelona",6481.481481481482,41.40445,2.15505,https://www.idealista.com/en/inmueble/101754692/,2023-07-19,5
"Penthouse in La Trinitat Vella, Barcelona",130500,3,59,"La Trinitat Vella, Barcelona",2211.864406779661,41.45087,2.19129,https://www.idealista.com/en/inmueble/101711537/,2023-07-19,3
"Penthouse in El Raval, Barcelona",299000,2,60,"El Raval, Barcelona",4983.333333333333,41.70141,1.97096,https://www.idealista.com/en/inmueble/101702141/,2023-07-19,5
"Penthouse in calle del Roser, El Poble Sec - Parc de Montjuïc, Barcelona",310000,2,59,"calle del Roser, El Poble Sec - Parc de Montjuïc, Barcelona",5254.237288135593,41.3728,2.16631,https://www.idealista.com/en/inmueble/99446584/,2023-07-19,2
"Penthouse in calle de la Foradada, La Trinitat Vella, Barcelona",130500,2,59,"calle de la Foradada, La Trinitat Vella, Barcelona",2211.864406779661,41.4521,2.19163,https://www.idealista.com/en/inmueble/101656238/,2023-07-19,4
"Penthouse in calle del Perill, Vila de Gràcia, Barcelona",350000,1,54,"calle del Perill, Vila de Gràcia, Barcelona",6481.481481481482,41.39975,2.16195,https://www.idealista.com/en/inmueble/101649654/,2023-07-19,5
"Penthouse in calle d'Agustí i Milà, Sant Andreu, Barcelona",259000,3,59,"calle d'Agustí i Milà, Sant Andreu, Barcelona",4389.830508474576,41.43817,2.18793,https://www.idealista.com/en/inmueble/101624162/,2023-07-19,5
"Penthouse in Passatge de Pla, La Dreta de l'Eixample, Barcelona",159000,1,44,"Passatge de Pla, La Dreta de l'Eixample, Barcelona",3613.6363636363635,41.396,2.16882,https://www.idealista.com/en/inmueble/101268689/,2023-07-19,5
"Penthouse in El Raval, Barcelona",194000,2,51,"El Raval, Barcelona",3803.921568627451,41.70141,1.97096,https://www.idealista.com/en/inmueble/101586805/,2023-07-19,-1
"Penthouse in calle de la Foradada, 102, La Trinitat Vella, Barcelona",120000,2,60,"calle de la Foradada, 102, La Trinitat Vella, Barcelona",2000.0,41.45301,2.19348,https://www.idealista.com/en/inmueble/101515170/,2023-07-19,4
"Penthouse in calle de Can Bruixa, Nn, Les Corts, Barcelona",475000,2,55,"calle de Can Bruixa, Nn, Les Corts, Barcelona",8636.363636363636,41.38388,2.13167,https://www.idealista.com/en/inmueble/101500493/,2023-07-19,6
"Penthouse in calle d'Agustí i Milà, Sant Andreu, Barcelona",259000,3,59,"calle d'Agustí i Milà, Sant Andreu, Barcelona",4389.830508474576,41.43817,2.18793,https://www.idealista.com/en/inmueble/101353509/,2023-07-19,5
"Penthouse in Sant Andreu, Barcelona",259000,3,59,"Sant Andreu, Barcelona",4389.830508474576,41.43614,2.18972,https://www.idealista.com/en/inmueble/101349429/,2023-07-19,5
"Penthouse in Agustí i Milà, Sant Andreu, Barcelona",259000,3,59,"Agustí i Milà, Sant Andreu, Barcelona",4389.830508474576,41.43817,2.18793,https://www.idealista.com/en/inmueble/101343260/,2023-07-19,5
"Penthouse in La Sagrada Família, Barcelona",328500,1,60,"La Sagrada Família, Barcelona",5475.0,41.4021,2.17354,https://www.idealista.com/en/inmueble/101331098/,2023-07-19,9
